Place of Interest,Type of place,Place address,BiciMAD station,Station Location
Reproducción de capitel egipcio,Monumento de la ciudad de Madrid, , Quintana,Calle Quintana nº 11
Reproducción de capitel egipcio,Monumento de la ciudad de Madrid, , Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
Reproducción de la Puerta de Bisagra de Toledo,Monumento de la ciudad de Madrid,C Principal de Provincias (Parque de la Casa de Campo) 9, Puerta del Ángel,Plaza Puerta del Ángel nº 4
Reproducción de la Puerta de Bisagra de Toledo,Monumento de la ciudad de Madrid,C Principal de Provincias (Parque de la Casa de Campo) 9, Caramuel,Calle Caramuel nº 51
Reproducción de la Puerta de Bisagra de Toledo,Monumento de la ciudad de Madrid,C Principal de Provincias (Parque de la Casa de Campo) 9, Ermita Santo,Paseo de la Ermita del Santo nº 48
Reproducción de la Puerta del Carmen de Zaragoza,Monumento de la ciudad de Madrid,C Principal de Provincias , Puerta del Ángel,Plaza Puerta del Ángel nº 4
Reproducción de la Puerta del Carmen de Zaragoza,Monumento de la ciudad de Madrid,C Principal de Provincias , Caramuel,Calle Caramuel nº 51
Reproducción de la Puerta del Carmen de Zaragoza,Monumento de la ciudad de Madrid,C Principal de Provincias , Ermita Santo,Paseo de la Ermita del Santo nº 48
República Argentina,Monumento de la ciudad de Madrid,PLAZA REPUBLICA ARGENTINA 6, Plaza de la República Argentina,Plaza de la República Argentina nº 6
República Argentina,Monumento de la ciudad de Madrid,PLAZA REPUBLICA ARGENTINA 6, Serrano 113,Calle Serrano nº 113B
República Argentina,Monumento de la ciudad de Madrid,PLAZA REPUBLICA ARGENTINA 6, Paseo de la Habana 42,Paseo de la Habana nº 42
Restauración iglesia de Montserrat,Monumento de la ciudad de Madrid,C San Bernardo 79, San Hermenegildo,Calle San Bernardo nº 85
Restauración iglesia de Montserrat,Monumento de la ciudad de Madrid,C San Bernardo 79, San Vicente Ferrer,Calle San Vicente Ferrer nº 64
Restauración iglesia de Montserrat,Monumento de la ciudad de Madrid,C San Bernardo 79, Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3
Resto escultóricos y arquitectónicos,Monumento de la ciudad de Madrid, , Carlota O’Neill,Calle Carlota O'Neill nº 32
Resto escultóricos y arquitectónicos,Monumento de la ciudad de Madrid, , Condesa de Venadito,Calle Condesa de Venadito nº 2
Resto escultóricos y arquitectónicos,Monumento de la ciudad de Madrid, , Pío XII,Avenida Pío XII nº 3
Restos Convento Santa Catalina de Sena,Monumento de la ciudad de Madrid,"Pza Cabestreros, de ", Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35
Restos Convento Santa Catalina de Sena,Monumento de la ciudad de Madrid,"Pza Cabestreros, de ", Jesús y María,Calle Lavapiés nº 34
Restos Convento Santa Catalina de Sena,Monumento de la ciudad de Madrid,"Pza Cabestreros, de ", Plaza de Lavapiés,Calle Valencia nº 1
Restos arqueológicos iglesia Almudena,Monumento de la ciudad de Madrid,C Almudena , Segovia 26,Calle Segovia nº 26
Restos arqueológicos iglesia Almudena,Monumento de la ciudad de Madrid,C Almudena , Plaza Ramales,Plaza de Ramales
Restos arqueológicos iglesia Almudena,Monumento de la ciudad de Madrid,C Almudena , Plaza del Cordón,Plaza del Cordón
Restos de cerca en la calle Bailén,Monumento de la ciudad de Madrid,C Bailén 3, San Quintín,Calle Pavía nº 6
Restos de cerca en la calle Bailén,Monumento de la ciudad de Madrid,C Bailén 3, Plaza de España A,Calle Princesa nº 5
Restos de cerca en la calle Bailén,Monumento de la ciudad de Madrid,C Bailén 3, Plaza de España B,Calle Princesa nº 5
Restos de fábrica de ladrillos Norah,Monumento de la ciudad de Madrid, , Embajadores 191,Calle Sodio nº 1B
Restos de fábrica de ladrillos Norah,Monumento de la ciudad de Madrid, , Glorieta de Cádiz,Calle Antonio López nº 129
Restos de fábrica de ladrillos Norah,Monumento de la ciudad de Madrid, , Legazpi,Calle Bolívar nº 3
Restos escultóricos,Monumento de la ciudad de Madrid,CALLE JOAQUIN MARIA LOPEZ 1, Galileo,Calle Galileo nº 63
Restos escultóricos,Monumento de la ciudad de Madrid,CALLE JOAQUIN MARIA LOPEZ 1, Fernando el Católico,Calle Fernando el Católico nº 19
Restos escultóricos,Monumento de la ciudad de Madrid,CALLE JOAQUIN MARIA LOPEZ 1, Parque Santander,Calle Santander esquina con Avenida de Filipinas
Restos historicos del muro de la Puerta del Zarzón,Monumento de la ciudad de Madrid,Ctra Boadilla del Monte , Caramuel,Calle Caramuel nº 51
Restos historicos del muro de la Puerta del Zarzón,Monumento de la ciudad de Madrid,Ctra Boadilla del Monte , Puerta del Ángel,Plaza Puerta del Ángel nº 4
Restos historicos del muro de la Puerta del Zarzón,Monumento de la ciudad de Madrid,Ctra Boadilla del Monte , Ermita Santo,Paseo de la Ermita del Santo nº 48
Restos iglesia San Juan Bautista,Monumento de la ciudad de Madrid,Pza Ramales , Plaza Ramales,Plaza de Ramales
Restos iglesia San Juan Bautista,Monumento de la ciudad de Madrid,Pza Ramales , Palacio de Oriente,Calle Carlos III nº 1
Restos iglesia San Juan Bautista,Monumento de la ciudad de Madrid,Pza Ramales , San Quintín,Calle Pavía nº 6
Reveriano Soutullo,Monumento de la ciudad de Madrid,C Apodaca 7, Barceló,Calle Barceló nº 7
Reveriano Soutullo,Monumento de la ciudad de Madrid,C Apodaca 7, Fuencarral,Calle Fuencarral nº 108
Reveriano Soutullo,Monumento de la ciudad de Madrid,C Apodaca 7, Malasaña,Calle Manuela Malasaña nº 5
Rey astur-leonés,Monumento de la ciudad de Madrid,C Méndez Núñez 1, Antonio Maura,Calle Antonio Maura nº 15
Rey astur-leonés,Monumento de la ciudad de Madrid,C Méndez Núñez 1, Antonio Maura,Calle Antonio Maura nº 15
Rey astur-leonés,Monumento de la ciudad de Madrid,C Méndez Núñez 1, Espalter,Calle Espalter nº 1
Rey astur-leonés (probablemente Fruela I),Monumento de la ciudad de Madrid,C Méndez Núñez 1, Antonio Maura,Calle Antonio Maura nº 15
Rey astur-leonés (probablemente Fruela I),Monumento de la ciudad de Madrid,C Méndez Núñez 1, Espalter,Calle Espalter nº 1
Rey astur-leonés (probablemente Fruela I),Monumento de la ciudad de Madrid,C Méndez Núñez 1, Cibeles,Plaza Cibeles
Rey godo anterior a Leovigildo,Monumento de la ciudad de Madrid,C Méndez Núñez 1, Antonio Maura,Calle Antonio Maura nº 15
Rey godo anterior a Leovigildo,Monumento de la ciudad de Madrid,C Méndez Núñez 1, Espalter,Calle Espalter nº 1
Rey godo anterior a Leovigildo,Monumento de la ciudad de Madrid,C Méndez Núñez 1, Cibeles,Plaza Cibeles
Ricardo Codorníu,Monumento de la ciudad de Madrid,Pº Julio Romero de Torres , Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63
Ricardo Codorníu,Monumento de la ciudad de Madrid,Pº Julio Romero de Torres , Puerta del Pacífico ,Avenida de Menéndez Pelayo nº 73
Ricardo Codorníu,Monumento de la ciudad de Madrid,Pº Julio Romero de Torres , Menéndez Pelayo,Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas
Ricardo Villa,Monumento de la ciudad de Madrid,Trav Bringas 1, Plaza de San Miguel,Plaza de San Miguel nº 9
Ricardo Villa,Monumento de la ciudad de Madrid,Trav Bringas 1, Calle Mayor,Calle Mayor nº 20
Ricardo Villa,Monumento de la ciudad de Madrid,Trav Bringas 1, Plaza del Cordón,Plaza del Cordón
Ricardo de la Vega,Monumento de la ciudad de Madrid,Ctra Fernanflor 8, Marqués de Cubas,Calle del Marqués de Cubas nº 25
Ricardo de la Vega,Monumento de la ciudad de Madrid,Ctra Fernanflor 8, Banco de España A,Calle Alcalá nº 49
Ricardo de la Vega,Monumento de la ciudad de Madrid,Ctra Fernanflor 8, Sevilla,Calle Alcalá nº 27
Roberto Domingo,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO , Facultad Derecho,Avenida Complutense nº 23
Roberto Domingo,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO , INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Roberto Domingo,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO , Facultad Biología,Calle José Antonio Novais frente al nº 12
Rodríguez Lázaro,Monumento de la ciudad de Madrid,C Rodríguez Lázaro 1, Caramuel,Calle Caramuel nº 51
Rodríguez Lázaro,Monumento de la ciudad de Madrid,C Rodríguez Lázaro 1, Ermita Santo,Paseo de la Ermita del Santo nº 48
Rodríguez Lázaro,Monumento de la ciudad de Madrid,C Rodríguez Lázaro 1, Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Roger de Flor,Monumento de la ciudad de Madrid,Pza Roger de Flor , Ermita Santo,Paseo de la Ermita del Santo nº 48
Roger de Flor,Monumento de la ciudad de Madrid,Pza Roger de Flor , Caramuel,Calle Caramuel nº 51
Roger de Flor,Monumento de la ciudad de Madrid,Pza Roger de Flor , Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Rosalía de Castro,Monumento de la ciudad de Madrid,C Ballesta 13, Carlos Cambronero,Plaza de Carlos Cambronero nº 2
Rosalía de Castro,Monumento de la ciudad de Madrid,C Ballesta 13, Desengaño,Calle Desengaño nº 1
Rosalía de Castro,Monumento de la ciudad de Madrid,C Ballesta 13, Tres Cruces,Calle Tres Cruces nº 7
Rubén Darío,Monumento de la ciudad de Madrid,GLORIETA RUBEN DARIO 1, Rubén Darío,Glorieta Rubén Darío 2
Rubén Darío,Monumento de la ciudad de Madrid,CALLE SERRANO 31, Serrano,Calle Serrano nº 54
Rubén Darío,Monumento de la ciudad de Madrid,GLORIETA RUBEN DARIO 4, Rubén Darío,Glorieta Rubén Darío 2
Ruinas de la ermita de san Pelayo y san Isidoro,Monumento de la ciudad de Madrid, , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Ruinas de la ermita de san Pelayo y san Isidoro,Monumento de la ciudad de Madrid, , Alcalá,Avenida de Menéndez Pelayo nº 3
Ruinas de la ermita de san Pelayo y san Isidoro,Monumento de la ciudad de Madrid, , Castelló,Calle Alcalá nº 111
Ruinas parque del Espinillo,Monumento de la ciudad de Madrid, , Embajadores 191,Calle Sodio nº 1B
Ruinas parque del Espinillo,Monumento de la ciudad de Madrid, , Glorieta de Cádiz,Calle Antonio López nº 129
Ruinas parque del Espinillo,Monumento de la ciudad de Madrid, , Legazpi,Calle Bolívar nº 3
Ruperto Chapí,Monumento de la ciudad de Madrid,C Arenal 18, Plaza de Celenque B,Plaza de Celenque nº 1
Ruperto Chapí,Monumento de la ciudad de Madrid,C Arenal 18, Calle Mayor,Calle Mayor nº 20
Ruperto Chapí,Monumento de la ciudad de Madrid,C Arenal 18, Plaza de Celenque A,Plaza de Celenque nº 1
Ría Chica,Monumento de la ciudad de Madrid, , Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra
Ría Chica,Monumento de la ciudad de Madrid, , Marqués de Zafra,Paseo Marqués de Zafra nº 24
Ría Chica,Monumento de la ciudad de Madrid, , Marqués de Corbera 12,Avenida Marqués de Corbera nº 12
Ría Colegio Las Acacias,Monumento de la ciudad de Madrid,C General Ricardos 179, Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Ría Colegio Las Acacias,Monumento de la ciudad de Madrid,C General Ricardos 179, Ermita Santo,Paseo de la Ermita del Santo nº 48
Ría Colegio Las Acacias,Monumento de la ciudad de Madrid,C General Ricardos 179, Caramuel,Calle Caramuel nº 51
Ría Grande de Don Quijote,Monumento de la ciudad de Madrid,Avda Doctor Federico Rubio y Galí , Pablo Iglesias,Calle Francisco Balseiro nº 1
Ría Grande de Don Quijote,Monumento de la ciudad de Madrid,Avda Doctor Federico Rubio y Galí , Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Ría Grande de Don Quijote,Monumento de la ciudad de Madrid,Avda Doctor Federico Rubio y Galí , Francos Rodríguez,Calle Francos Rodríguez nº 62
Ría Norte y estanque de la Montaña Artificial del Retiro,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Ría Norte y estanque de la Montaña Artificial del Retiro,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez , Alcalá,Avenida de Menéndez Pelayo nº 3
Ría Norte y estanque de la Montaña Artificial del Retiro,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez , Castelló,Calle Alcalá nº 111
Ría Sur y cascada de la Chopera,Monumento de la ciudad de Madrid,PARQUE RETIRO , Castelló,Calle Alcalá nº 111
Ría Sur y cascada de la Chopera,Monumento de la ciudad de Madrid,PARQUE RETIRO , Alcalá,Avenida de Menéndez Pelayo nº 3
Ría Sur y cascada de la Chopera,Monumento de la ciudad de Madrid,PARQUE RETIRO , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Ría del paseo de Colombia,Monumento de la ciudad de Madrid,PASEO COLOMBIA 1, Velázquez,Calle Alcalá nº 95
Ría del paseo de Colombia,Monumento de la ciudad de Madrid,PASEO COLOMBIA 1, Castelló,Calle Alcalá nº 111
Ría del paseo de Colombia,Monumento de la ciudad de Madrid,PASEO COLOMBIA 1, Plaza de la Independencia,Plaza de la Independencia nº 6
Ría del paseo de Venezuela,Monumento de la ciudad de Madrid,PARQUE RETIRO , Castelló,Calle Alcalá nº 111
Ría del paseo de Venezuela,Monumento de la ciudad de Madrid,PARQUE RETIRO , Alcalá,Avenida de Menéndez Pelayo nº 3
Ría del paseo de Venezuela,Monumento de la ciudad de Madrid,PARQUE RETIRO , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Ría semicircular,Monumento de la ciudad de Madrid,PARQUE CERRO PEÑABEL , Francos Rodríguez,Calle Francos Rodríguez nº 62
Ría semicircular,Monumento de la ciudad de Madrid,PARQUE CERRO PEÑABEL , Remonta,Calle Azucenas nº 1
Ría semicircular,Monumento de la ciudad de Madrid,PARQUE CERRO PEÑABEL , Metro Tetuán,Calle Marqués de Viana nº 3
Ría y estanque Villarrosa,Monumento de la ciudad de Madrid,C Aconcagua , Carlota O’Neill,Calle Carlota O'Neill nº 32
Ría y estanque Villarrosa,Monumento de la ciudad de Madrid,C Aconcagua , C.D. Concepción,Calle Jose del Hierro nº 5
Ría y estanque Villarrosa,Monumento de la ciudad de Madrid,C Aconcagua , Condesa de Venadito,Calle Condesa de Venadito nº 2
Ría y lago de El Capricho,Monumento de la ciudad de Madrid, , Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Ría y lago de El Capricho,Monumento de la ciudad de Madrid, , Carlota O’Neill,Calle Carlota O'Neill nº 32
Ría y lago de El Capricho,Monumento de la ciudad de Madrid, , C.D. Concepción,Calle Jose del Hierro nº 5
Sagrada Familia,Monumento de la ciudad de Madrid,PLAZA MADRE MOLAS 2, López Pozas,Calle General López Pozas nº 2
Sagrada Familia,Monumento de la ciudad de Madrid,PLAZA MADRE MOLAS 2, Alberto Alcocer,Avenida de Alberto Alcocer nº 22
Sagrada Familia,Monumento de la ciudad de Madrid,PLAZA MADRE MOLAS 2, Plaza de Castilla 2,Paseo Castellana (Fundación Canal)
Sagrado Corazón de Jesús,Monumento de la ciudad de Madrid,CALLE MAGNOLIAS 105, Torre Cepsa,Calle Sinesio Delgado nº 2
Sagrado Corazón de Jesús,Monumento de la ciudad de Madrid,GLORIETA SAN ANTONIO DE LA FLORIDA 1, Paseo de la Florida,Paseo de la Florida nº 8
Sagrado Corazón de Jesús,Monumento de la ciudad de Madrid,CALLE MAGNOLIAS 105, Chamartín,Calle Rodríguez Jaén nº 40
Saineteros madrileños,Monumento de la ciudad de Madrid,CALLE LUCHANA 1, Fuencarral,Calle Fuencarral nº 108
Saineteros madrileños,Monumento de la ciudad de Madrid,CALLE LUCHANA 1, Malasaña,Calle Manuela Malasaña nº 5
Saineteros madrileños,Monumento de la ciudad de Madrid,CALLE LUCHANA 1, Manuel Silvela,Calle Manuel Silvela nº 20
San Cristóbal,Monumento de la ciudad de Madrid,URBANIZACION CIUDAD PEGASO , Gutierre de Cetina,Calle Gutierre de Cetina nº 77
San Cristóbal,Monumento de la ciudad de Madrid,URBANIZACION CIUDAD PEGASO , Carlota O’Neill,Calle Carlota O'Neill nº 32
San Cristóbal,Monumento de la ciudad de Madrid,URBANIZACION CIUDAD PEGASO , C.D. Concepción,Calle Jose del Hierro nº 5
San Fernando (Fernando III el Santo),Monumento de la ciudad de Madrid, , Facultad Derecho,Avenida Complutense nº 23
San Fernando (Fernando III el Santo),Monumento de la ciudad de Madrid, , Facultad Biología,Calle José Antonio Novais frente al nº 12
San Fernando (Fernando III el Santo),Monumento de la ciudad de Madrid, , Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
San Gerardo,Monumento de la ciudad de Madrid,C Maqueda 45, Caramuel,Calle Caramuel nº 51
San Gerardo,Monumento de la ciudad de Madrid,C Maqueda 45, Puerta del Ángel,Plaza Puerta del Ángel nº 4
San Gerardo,Monumento de la ciudad de Madrid,C Maqueda 45, Ermita Santo,Paseo de la Ermita del Santo nº 48
San Isidoro,Monumento de la ciudad de Madrid,Pº Recoletos 20, Biblioteca Nacional,Paseo de Recoletos nº 20
San Isidoro,Monumento de la ciudad de Madrid,Pº Recoletos 20, Plaza de Colón,Calle Goya nº 1
San Isidoro,Monumento de la ciudad de Madrid,Pº Recoletos 20, Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
San Isidro,Monumento de la ciudad de Madrid,PUENTE TOLEDO , Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
San Isidro,Monumento de la ciudad de Madrid, , Plaza de San Francisco,Plaza de San Francisco nº 5
San Isidro,Monumento de la ciudad de Madrid,PASEO CASTELLANA 112, Castellana 106,Paseo de la Castellana nº 106
San Isidro en la Venta del Batán,Monumento de la ciudad de Madrid,Ctra Batán , Caramuel,Calle Caramuel nº 51
San Isidro en la Venta del Batán,Monumento de la ciudad de Madrid,Ctra Batán , Puerta del Ángel,Plaza Puerta del Ángel nº 4
San Isidro en la Venta del Batán,Monumento de la ciudad de Madrid,Ctra Batán , Ermita Santo,Paseo de la Ermita del Santo nº 48
San José,Monumento de la ciudad de Madrid,CALLE ELOY GONZALO 3, Quevedo,Glorieta de Quevedo nº 5
San José,Monumento de la ciudad de Madrid,CALLE ELOY GONZALO 3, General Álvarez de Castro,Calle del General Álvarez de Castro nº 1
San José,Monumento de la ciudad de Madrid,CALLE ELOY GONZALO 3, Santa Engracia 87,Calle Santa Engracia nº 87
San Juan de Dios,Monumento de la ciudad de Madrid,C López de Hoyos 259, Corazón de María,Calle Santa Hortensia nº 31
San Juan de Dios,Monumento de la ciudad de Madrid,C López de Hoyos 259, Condesa de Venadito,Calle Condesa de Venadito nº 2
San Juan de Dios,Monumento de la ciudad de Madrid,C López de Hoyos 259, Colombia,Calle Colombia nº 7
San Pol de Mar,Monumento de la ciudad de Madrid,C San Pol de Mar , Paseo de la Florida,Paseo de la Florida nº 8
San Pol de Mar,Monumento de la ciudad de Madrid,C San Pol de Mar , Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
San Pol de Mar,Monumento de la ciudad de Madrid,C San Pol de Mar , Paseo de Moret,Paseo de Moret nº 11
Sancha. Reina de León,Monumento de la ciudad de Madrid,Pza Oriente , San Quintín,Calle Pavía nº 6
Sancha. Reina de León,Monumento de la ciudad de Madrid,Pza Oriente , Palacio de Oriente,Calle Carlos III nº 1
Sancha. Reina de León,Monumento de la ciudad de Madrid,Pza Oriente , Plaza Ramales,Plaza de Ramales
Sancho IV,Monumento de la ciudad de Madrid,Pº República Argentina , Antonio Maura,Calle Antonio Maura nº 15
Sancho IV,Monumento de la ciudad de Madrid,Pº República Argentina , Plaza de la Independencia,Plaza de la Independencia nº 6
Sancho IV,Monumento de la ciudad de Madrid,Pº República Argentina , Columela,Calle Serrano nº 8
Sancho IV. El Bravo,Monumento de la ciudad de Madrid,PASEO ARGENTINA 2, Antonio Maura,Calle Antonio Maura nº 15
Sancho IV. El Bravo,Monumento de la ciudad de Madrid,PASEO ARGENTINA 2, Plaza de la Independencia,Plaza de la Independencia nº 6
Sancho IV. El Bravo,Monumento de la ciudad de Madrid,PASEO ARGENTINA 2, Espalter,Calle Espalter nº 1
Santa Bárbara,Monumento de la ciudad de Madrid,Pte Puente de San Fernando , Facultad Derecho,Avenida Complutense nº 23
Santa Bárbara,Monumento de la ciudad de Madrid,Pte Puente de San Fernando , Facultad Biología,Calle José Antonio Novais frente al nº 12
Santa Bárbara,Monumento de la ciudad de Madrid,Pte Puente de San Fernando , Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
Santa María de la Cabeza,Monumento de la ciudad de Madrid,CALLE TOLEDO 1, Plaza de la Provincia,Plaza de la Provincia nº 1
Santa María de la Cabeza,Monumento de la ciudad de Madrid,CALLE TOLEDO 1, Calle Mayor,Calle Mayor nº 20
Santa María de la Cabeza,Monumento de la ciudad de Madrid,CALLE TOLEDO 1, Plaza de San Miguel,Plaza de San Miguel nº 9
Santa Rosa,Monumento de la ciudad de Madrid,Col Torres Garrido , Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Santa Rosa,Monumento de la ciudad de Madrid,Col Torres Garrido , Ermita Santo,Paseo de la Ermita del Santo nº 48
Santa Rosa,Monumento de la ciudad de Madrid,Col Torres Garrido , Caramuel,Calle Caramuel nº 51
Santa Rosa de Lima,Monumento de la ciudad de Madrid,C General Ricardos 177, Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Santa Rosa de Lima,Monumento de la ciudad de Madrid,C General Ricardos 177, Ermita Santo,Paseo de la Ermita del Santo nº 48
Santa Rosa de Lima,Monumento de la ciudad de Madrid,C General Ricardos 177, Caramuel,Calle Caramuel nº 51
Santiago Ramón y Cajal,Monumento de la ciudad de Madrid,C Alfonso XII 64, Atocha B,Paseo de la Infanta Isabel nº 3
Santiago Ramón y Cajal,Monumento de la ciudad de Madrid,C Alfonso XII 64, Atocha A,Paseo de la Infanta Isabel nº 3
Santiago Ramón y Cajal,Monumento de la ciudad de Madrid,C Alfonso XII 64, Puerta del Ángel Caído,Avenida de Alfonso XII nº 54
Santo Ángel de la Guarda,Monumento de la ciudad de Madrid,C Tutor 35, Quintana,Calle Quintana nº 11
Santo Ángel de la Guarda,Monumento de la ciudad de Madrid,C Tutor 35, Altamirano,Calle Altamirano nº 24
Santo Ángel de la Guarda,Monumento de la ciudad de Madrid,C Tutor 35, Guzmán el Bueno,Calle Guzmán el Bueno nº 1
Santísima Virgen,Monumento de la ciudad de Madrid,PASEO CAMOENS Y VALERO , Paseo de Moret,Paseo de Moret nº 11
Santísima Virgen,Monumento de la ciudad de Madrid,PASEO CAMOENS Y VALERO , Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
Santísima Virgen,Monumento de la ciudad de Madrid,PASEO CAMOENS Y VALERO , Altamirano,Calle Altamirano nº 24
Seis columnas jónicas,Monumento de la ciudad de Madrid,C Aniceto Marinas 60, Paseo de la Florida,Paseo de la Florida nº 8
Seis columnas jónicas,Monumento de la ciudad de Madrid,C Aniceto Marinas 60, Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
Seis columnas jónicas,Monumento de la ciudad de Madrid,C Aniceto Marinas 60, Paseo de Moret,Paseo de Moret nº 11
Serafín y Joaquín Álvarez Quintero,Monumento de la ciudad de Madrid,PARQUE RETIRO , Castelló,Calle Alcalá nº 111
Serafín y Joaquín Álvarez Quintero,Monumento de la ciudad de Madrid,PARQUE RETIRO , Alcalá,Avenida de Menéndez Pelayo nº 3
Serafín y Joaquín Álvarez Quintero,Monumento de la ciudad de Madrid,PARQUE RETIRO , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Serie escultórica en la Universidad de Cantoblanco,Monumento de la ciudad de Madrid, , Pedro Rico,Calle Pedro Rico nº 4
Serie escultórica en la Universidad de Cantoblanco,Monumento de la ciudad de Madrid, , Manuel Caldeiro,Paseo de la Castellana nº 298
Serie escultórica en la Universidad de Cantoblanco,Monumento de la ciudad de Madrid, , Torre Cepsa,Calle Sinesio Delgado nº 2
Severo Ochoa,Monumento de la ciudad de Madrid,PLAZA RAMON Y CAJAL 3, Ciudad Universitaria 2,Avenida de la Complutense (Metro Ciudad Universitaria)
Severo Ochoa,Monumento de la ciudad de Madrid,PLAZA RAMON Y CAJAL 3, Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
Severo Ochoa,Monumento de la ciudad de Madrid,PLAZA RAMON Y CAJAL 3, Facultad Biología,Calle José Antonio Novais frente al nº 12
Si todos los hombres...,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 1, Guzmán el Bueno,Calle Guzmán el Bueno nº 1
Si todos los hombres...,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 1, Santa Cruz del Marcenado,Calle Santa Cruz del Marcenado nº 24
Si todos los hombres...,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 1, Fernando el Católico,Calle Fernando el Católico nº 61
Simón Bolívar,Monumento de la ciudad de Madrid, , Paseo de Moret,Paseo de Moret nº 11
Simón Bolívar,Monumento de la ciudad de Madrid, , INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Simón Bolívar,Monumento de la ciudad de Madrid, , Moncloa,Paseo de Moret nº 2
Simón Bolívar y María Teresa del Toro,Monumento de la ciudad de Madrid,C Gravina 19, Augusto Figueroa,Calle Augusto Figueroa nº 33
Simón Bolívar y María Teresa del Toro,Monumento de la ciudad de Madrid,C Gravina 19, Prim,Calle Prim nº 2
Simón Bolívar y María Teresa del Toro,Monumento de la ciudad de Madrid,C Gravina 19, Colegio Arquitectos,Calle Hortaleza nº 63
Simón de Rojas Clemente,Monumento de la ciudad de Madrid,Pza Murillo 2, Espalter,Calle Espalter nº 1
Simón de Rojas Clemente,Monumento de la ciudad de Madrid,Pza Murillo 2, Almadén,Calle Almadén nº 28
Simón de Rojas Clemente,Monumento de la ciudad de Madrid,Pza Murillo 2, Cuesta de Moyano,Cuesta de Claudio Moyano
Sirena Varada 'Lugar de Encuentros III',Monumento de la ciudad de Madrid,Pº Castellana 41, Castellana 42,Paseo de la Castellana nº 42
Sirena Varada 'Lugar de Encuentros III',Monumento de la ciudad de Madrid,Pº Castellana 41, Paseo de la Castellana ,Paseo de la Castellana nº 43
Sirena Varada 'Lugar de Encuentros III',Monumento de la ciudad de Madrid,Pº Castellana 41, Ortega y Gasset,Calle José Ortega y Gasset nº 4
Skandia,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 133, San Francisco de Sales,Calle General Ampudia nº 2
Skandia,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 133, Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Skandia,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 133, Cea Bermúdez,Calle Cea Bermúdez nº 59
Sor Juana Inés de la Cruz,Monumento de la ciudad de Madrid,C Ferraz , Plaza de España A,Calle Princesa nº 5
Sor Juana Inés de la Cruz,Monumento de la ciudad de Madrid,C Ferraz , Ferraz,Calle Evaristo San Miguel nº 2
Sor Juana Inés de la Cruz,Monumento de la ciudad de Madrid,C Ferraz , Ventura Rodríguez,Calle Duque de Liria
Sor Marcela de San Félix,Monumento de la ciudad de Madrid,C Huertas 47, Huertas,Calle Jesús nº 1
Sor Marcela de San Félix,Monumento de la ciudad de Madrid,C Huertas 47, Antón Martín,Calle Atocha nº 54
Sor Marcela de San Félix,Monumento de la ciudad de Madrid,C Huertas 47, Santa Isabel,Calle Atocha nº 95
Sor Marta,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1, Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
