Place of Interest,Type of place,Place address,BiciMAD station,Station Location
José Martí,Monumento de la ciudad de Madrid,C Desengaño , Tres Cruces,Calle Tres Cruces nº 7
José Martí,Monumento de la ciudad de Madrid,C Desengaño , Carlos Cambronero,Plaza de Carlos Cambronero nº 2
José María Albareda Herrera,Monumento de la ciudad de Madrid,CALLE SERRANO 117, Serrano 113,Calle Serrano nº 113B
José María Albareda Herrera,Monumento de la ciudad de Madrid,CALLE SERRANO 117, José Gutiérrez Abascal ,Calle José Gutiérrez Abascal nº 2
José María Albareda Herrera,Monumento de la ciudad de Madrid,CALLE SERRANO 117, Plaza de San Juan de la Cruz,Plaza de San Juan de la Cruz nº 11
José María Iparraguirre,Monumento de la ciudad de Madrid,C Montera 48, Desengaño,Calle Desengaño nº 1
José María Iparraguirre,Monumento de la ciudad de Madrid,C Montera 48, Tres Cruces,Calle Tres Cruces nº 7
José María Iparraguirre,Monumento de la ciudad de Madrid,C Montera 48, Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1
José María Soler y Guijarro,Monumento de la ciudad de Madrid,Pza Mayor 27, Calle Mayor,Calle Mayor nº 20
José María Soler y Guijarro,Monumento de la ciudad de Madrid,Pza Mayor 27, Plaza de la Provincia,Plaza de la Provincia nº 1
José María Soler y Guijarro,Monumento de la ciudad de Madrid,Pza Mayor 27, Plaza de Celenque B,Plaza de Celenque nº 1
José María Torrijos,Monumento de la ciudad de Madrid,C Preciados 30, Jacometrezo,Calle Jacometrezo nº 3
José María Torrijos,Monumento de la ciudad de Madrid,C Preciados 30, Miguel Moya,Calle Miguel Moya nº 1
José María Torrijos,Monumento de la ciudad de Madrid,C Preciados 30, Santo Domingo,Plaza de Santo Domingo nº 1
José María de la Cruz,Monumento de la ciudad de Madrid,C San Jaime 21, Pavones,Calle Hacienda de Pavones nº 342
José María de la Cruz,Monumento de la ciudad de Madrid,C San Jaime 21, Marroquina,Calle Camino de los Vinateros nº 108
José María de la Cruz,Monumento de la ciudad de Madrid,C San Jaime 21, Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
José Nogales,Monumento de la ciudad de Madrid,CALLE SANTA ENGRACIA 50, Santa Engracia 87,Calle Santa Engracia nº 87
José Nogales,Monumento de la ciudad de Madrid,CALLE SANTA ENGRACIA 50, General Álvarez de Castro,Calle del General Álvarez de Castro nº 1
José Nogales,Monumento de la ciudad de Madrid,CALLE SANTA ENGRACIA 50, Manuel Silvela,Calle Manuel Silvela nº 20
José Ortega y Gasset,Monumento de la ciudad de Madrid,CALLE ALFONSO XII 4, Plaza de la Independencia,Plaza de la Independencia nº 6
José Ortega y Gasset,Monumento de la ciudad de Madrid,PLAZA MENENDEZ PELAYO 4, Facultad Derecho,Avenida Complutense nº 23
José Ortega y Gasset,Monumento de la ciudad de Madrid,CALLE ALFONSO XII 4, Antonio Maura,Calle Antonio Maura nº 15
José Padilla,Monumento de la ciudad de Madrid,C Gabriel Abreu 11, Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra
José Padilla,Monumento de la ciudad de Madrid,C Gabriel Abreu 11, Marqués de Zafra,Paseo Marqués de Zafra nº 24
José Padilla,Monumento de la ciudad de Madrid,C Gabriel Abreu 11, Marqués de Corbera 12,Avenida Marqués de Corbera nº 12
José Rizal,Monumento de la ciudad de Madrid,C Manuel Fernández y González 7, Plaza de Santa Ana,Plaza de Santa Ana nº 10
José Rizal,Monumento de la ciudad de Madrid,C Manuel Fernández y González 7, Puerta del Sol B,Puerta del Sol nº 1
José Rizal,Monumento de la ciudad de Madrid,C Manuel Fernández y González 7, Puerta del Sol A,Puerta del Sol nº 1
José Rizal Mercado,Monumento de la ciudad de Madrid,CALLE SANTANDER 1, Parque Santander,Calle Santander esquina con Avenida de Filipinas
José Rizal Mercado,Monumento de la ciudad de Madrid,CALLE SANTANDER 1, Bravo Murillo 44,Calle Bravo Murillo nº 44
José Rizal Mercado,Monumento de la ciudad de Madrid,CALLE SANTANDER 1, San Francisco de Sales,Calle General Ampudia nº 2
José Salamanca de Mayol (marqués de Salamanca),Monumento de la ciudad de Madrid,Pza Marqués de Salamanca , General Pardiñas,Calle General Pardiñas nº 56
José Salamanca de Mayol (marqués de Salamanca),Monumento de la ciudad de Madrid,Pza Marqués de Salamanca , Marqués de Salamanca,Calle José Ortega y Gasset nº 30
José Salamanca de Mayol (marqués de Salamanca),Monumento de la ciudad de Madrid,Pza Marqués de Salamanca , Príncipe de Vergara,Calle Hermosilla nº 70
José Zorrilla,Monumento de la ciudad de Madrid,C Santa Teresa 2, Hortaleza,Calle Hortaleza nº 75
José Zorrilla,Monumento de la ciudad de Madrid,C Santa Teresa 2, Alonso Martínez,Plaza de Alonso Martínez nº 5
José Zorrilla,Monumento de la ciudad de Madrid,C Santa Teresa 2, Colegio Arquitectos,Calle Hortaleza nº 63
José Zorrilla y Moral,Monumento de la ciudad de Madrid,C Huertas 17, Plaza de Santa Ana,Plaza de Santa Ana nº 10
José Zorrilla y Moral,Monumento de la ciudad de Madrid,C Huertas 17, Antón Martín,Calle Atocha nº 54
José Zorrilla y Moral,Monumento de la ciudad de Madrid,C Huertas 17, Santa Isabel,Calle Atocha nº 95
José de Espronceda,Monumento de la ciudad de Madrid,C Huertas 80, Huertas,Calle Jesús nº 1
José de Espronceda,Monumento de la ciudad de Madrid,C Huertas 80, Almadén,Calle Almadén nº 28
José de Espronceda,Monumento de la ciudad de Madrid,C Huertas 80, Espalter,Calle Espalter nº 1
José de San Martín,Monumento de la ciudad de Madrid, , Moncloa,Paseo de Moret nº 2
José de San Martín,Monumento de la ciudad de Madrid,C Martín Fierro , INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
José de San Martín,Monumento de la ciudad de Madrid, , Paseo de Moret,Paseo de Moret nº 11
Joven Bailando,Monumento de la ciudad de Madrid,C Palma 49, San Vicente Ferrer,Calle San Vicente Ferrer nº 64
Joven Bailando,Monumento de la ciudad de Madrid,C Palma 49, Plaza de Juan Pujol,Calle Espíritu Santo nº 30
